time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20190419:0700;14.18;64.85;408;632.46;123;289.9;1.31;89;101750
20190419:0800;15.92;58.45;579;728.31;143;296.3;1.86;100;101780
20190419:0900;17.31;52.65;495;198.52;353;303.05;2.28;103;101780
20190419:1000;18.37;45.85;807;807.44;167;311.75;2.34;99;101750
20190419:1100;19.19;44.3;860;861.43;149;319.7;2.28;93;101710
20190419:1200;19.68;41.3;848;867.76;144;316.6;2.21;92;101690
20190419:1300;19.77;41.3;762;807.9;155;327.45;2.21;90;101660
20190419:1400;20.21;38.5;648;788.17;136;329.4;2.21;90;101600
20190419:1500;20.32;38.5;488;717.31;120;343.7;2.28;89;101570
20190419:1600;20.14;37.1;296;538.59;107;344.85;2.21;91;101540
20190419:1700;19.39;42.85;115;304.05;62;343.5;1.66;97;101520
20190419:1800;17.58;58.8;0;0;0;318.15;1.31;101;101540
20190419:1900;15.56;60.5;0;0;0;302.85;1.59;103;101540
20190419:2000;15.3;54.25;0;0;0;298.05;1.24;111;101580
20190419:2100;15.44;52.25;0;0;0;296.3;0.62;110;101570
20190419:2200;14.56;54.1;0;0;0;290.85;0.14;10;101570
20190419:2300;13.29;60.05;0;0;0;288.55;0.83;320;101560
20190420:0000;10.49;74.4;0;0;0;286.05;1.31;316;101530
20190420:0100;9.12;79.85;0;0;0;283.25;1.38;313;101490
20190420:0200;8.82;79.85;0;0;0;282.35;1.24;299;101440
20190420:0300;8.36;82.75;0;0;0;280.8;1.24;286;101450
20190420:0400;7.59;85.8;0;0;0;280.6;1.38;274;101440
20190420:0500;7.17;89;54;149.29;38;281;1.52;268;101460
20190420:0600;9.56;85.95;234;510.49;88;281.4;1.03;260;101480
20190420:0700;14.64;67.35;425;687.84;112;295.5;0.28;255;101560
20190420:0800;17.25;58.7;593;763.11;133;306.35;0.48;187;101560
20190420:0900;18.97;49.45;727;800.92;151;306.95;0.62;152;101530
20190420:1000;20.32;41.45;833;867.82;142;311.4;1.17;97;101490
20190420:1100;21.2;37.35;873;879.61;144;322.2;1.93;87;101440
20190420:1200;21.88;34.85;856;874.13;144;322.05;2.62;88;101390
20190420:1300;22.1;32.5;774;828.38;149;321.45;2.83;91;101350
20190420:1400;22.15;32.5;662;818.1;128;325.3;2.76;93;101280
20190420:1500;22.02;32.5;495;724.52;121;326.3;2.76;88;101230
20190420:1600;21.57;34.85;277;406.54;133;312.95;2.69;85;101180
20190420:1700;20.7;41.55;75;50.62;66;309.85;1.93;87;101140
20190420:1800;18.62;51.15;0;0;0;306.55;1.72;82;101170
20190420:1900;16.43;62.95;0;0;0;317.2;1.66;68;101130
20190420:2000;14.71;64.95;0;0;0;318.95;2.21;45;101160
20190420:2100;13.76;69.65;0;0;0;319.1;2.34;43;101150
20190420:2200;12.65;74.7;0;0;0;312.15;2.07;47;101150
20190420:2300;11.86;74.6;0;0;0;307.1;1.79;59;101140
20190421:0000;11.82;74.6;0;0;0;301.7;1.45;69;101130
20190421:0100;12.35;69.45;0;0;0;289.8;1.03;69;101090
20190421:0200;12.48;69.45;0;0;0;283.7;0.83;65;101070
20190421:0300;10.66;77.15;0;0;0;289.1;1.31;32;101020
20190421:0400;10.11;79.95;0;0;0;294.95;1.31;26;100960
20190421:0500;11.55;71.85;26;0;26;303.85;0.55;28;100950
20190421:0600;12.23;71.95;117;24.09;110;302.85;0.07;215;100940
20190421:0700;15.5;60.5;291;163.25;216;308.65;0.69;40;100930
20190421:0800;18.02;51;452;276.83;284;318.55;0.76;129;100930
20190421:0900;19.37;39.8;505;201.94;359;325.5;1.24;135;100920
20190421:1000;20.05;37.1;833;851.46;152;334.4;1.45;146;100860
20190421:1100;20.43;34.55;867;848.44;161;327.45;1.31;132;100800
20190421:1200;21.36;33.45;625;276.38;399;327.05;1.52;112;100740
20190421:1300;21.93;31.3;509;167.64;382;335.95;2.21;106;100660
20190421:1400;22.28;30.15;205;0;205;332.3;2.69;104;100580
20190421:1500;22.17;29.05;216;17.33;207;320.65;3.03;106;100510
20190421:1600;21.59;31.15;174;55.95;154;315.85;3.03;113;100480
20190421:1700;20.58;38.65;89;93.8;72;316.8;2.28;106;100470
20190421:1800;18.67;45.85;0;0;0;319.5;2.14;83;100490
20190421:1900;16.48;52.5;0;0;0;305.55;2.48;65;100440
20190421:2000;15.05;54.25;0;0;0;299;2.69;58;100490
20190421:2100;14.02;58.1;0;0;0;298.05;2.83;67;100480
20190421:2200;13.12;60.05;0;0;0;292.05;2.9;84;100480
20190421:2300;12.29;55.65;0;0;0;285.85;2.97;94;100480
20190422:0000;11.49;57.55;0;0;0;282.75;2.83;96;100490
20190422:0100;10.79;57.4;0;0;0;287.3;2.62;98;100450
20190422:0200;10.27;61.65;0;0;0;295.9;2.41;92;100430
20190422:0300;10.32;61.75;0;0;0;315.45;2.41;88;100390
20190422:0400;10.14;64;0;0;0;314.3;2.34;69;100330
20190422:0500;10.21;71.6;31;8.56;30;325.5;2;74;100270
20190422:0600;10.82;71.75;120;27.1;112;314.1;1.59;96;100250
20190422:0700;13.39;64.75;98;0;98;314.5;3.17;104;100260
20190422:0800;13.9;67.25;378;135.87;295;315.25;3.52;98;100230
20190422:0900;14.67;64.95;326;23.39;309;332.3;3.93;94;100170
20190422:1000;15.9;60.65;790;727.01;206;328.4;3.86;92;100100
20190422:1100;17.49;52.75;836;767.3;195;322.8;4.14;93;100020
20190422:1200;18.66;47.55;757;577.45;283;320.85;4.83;92;99930
20190422:1300;19.52;42.85;158;0;158;335.75;5.66;93;99840
20190422:1400;19.56;41.3;417;144.19;322;344.3;5.66;91;99730
20190422:1500;19.49;41.3;95;0;95;355.5;5.66;91;99660
20190422:1600;18.8;44.2;80;0;80;364.6;5.38;93;99610
20190422:1700;17.85;47.4;40;0;40;364.8;5.1;97;99620
20190422:1800;16.84;50.75;0;0;0;363.65;5.1;101;99600
20190422:1900;15.25;67.45;0;0;0;361.1;3.79;102;99640
20190422:2000;14.41;69.85;0;0;0;352.8;4.07;104;99660
20190422:2100;13.46;77.6;0;0;0;352;4.34;103;99660
20190422:2200;12.53;86.25;0;0;0;348.75;3.93;98;99620
20190422:2300;12.08;89.35;0;0;0;352;3.66;96;99570
20190423:0000;11.87;86.2;0;0;0;351.25;3.24;89;99530
20190423:0100;11.75;92.55;0;0;0;355.8;2.55;72;99450
20190423:0200;11.74;92.55;0;0;0;361.3;1.79;61;99380
20190423:0300;11.68;92.55;0;0;0;362.85;0.97;63;99320
20190423:0400;11.75;95.9;0;0;0;362.1;0.55;53;99280
20190423:0500;11.86;92.6;12;0;12;361.1;0.48;55;99240
20190423:0600;12.22;89.35;51;0;51;362.45;0.55;56;99250
20190423:0700;12.93;86.3;89;0;89;367.7;2.07;72;99150
20190423:0800;13.07;86.3;75;0;75;366.15;2.34;69;99170
20190423:0900;13.47;86.35;111;0;111;367.1;2.9;72;99200
20190423:1000;13.48;86.35;100;0;100;369.05;2.83;76;99200
20190423:1100;13.81;86.4;138;0;138;371.95;3.52;84;99200
20190423:1200;14.31;83.45;140;0;140;370.6;3.59;92;99200
20190423:1300;14.24;89.5;93;0;93;372.15;3.72;93;99170
20190423:1400;13.89;86.4;149;0;149;372.95;3.72;91;99150
20190423:1500;13.61;89.45;93;0;93;369.45;3.45;89;99130
20190423:1600;13.51;89.45;33;0;33;369.25;3.45;93;99160
20190423:1700;13.33;86.35;53;5.32;52;367.7;3.86;99;99190
20190423:1800;13.06;89.4;0;0;0;358;4.07;101;99220
20190423:1900;12.62;89.4;0;0;0;364.4;4.07;99;99300
20190423:2000;12.32;86.25;0;0;0;341.55;3.72;101;99380
